,link,name,price,ratings,reviews,asin
0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02572983LR0Z2Y8KCIC5&url=%2Fuppercase-Backpack-1600EBP1-repellent-sustainable%2Fdp%2FB0B68ZS5G1%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1658686070%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26psc%3D1&qualifier=1658686070&id=3260066566995416&widgetName=sp_atf,"uppercase Medium 19L Laptop Backpack 1600EBP1 Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls , 750 Days warranty","1,100
",5.0 out of 5 stars,23,B0B68ZS5G1
1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02578903RPEENVUYU7ZC&url=%2Fuppercase-Medium-Laptop-Backpack-2100EBP1%2Fdp%2FB0B5NBLGBQ%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1658686070%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26psc%3D1&qualifier=1658686070&id=3260066566995416&widgetName=sp_atf,"uppercase Medium 14L Laptop Backpack 2100EBP1 Roll Top Office - College 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,400
",5.0 out of 5 stars,18,B0B5NBLGBQ
2,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1658686070&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-3,American Tourister Casual Backpack,"1,099
",4.1 out of 5 stars,"42,676",B07CJCGM1M
3,https://www.amazon.in/Clownfish-Vegan-Leather-Laptop-Briefcase/dp/B075Z37VQS/ref=sr_1_omk_4?crid=2M096C61O4MLT&keywords=bags&qid=1658686070&sprefix=ba%2Caps%2C283&sr=8-4,The Clownfish Laptop Bag Tablet Computer for Women and Men Water Resistant Synthetic Leather Briefcase Office Bag Messenger Sling Shoulder Bag with Strap MacBook Notebook Handbag Business Briefcase Bags,"1,699
",4.3 out of 5 stars,987,B075Z37VQS
4,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1658686070&sprefix=ba%2Caps%2C283&sr=8-5,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),"729
",3.9 out of 5 stars,"11,193",B085MHDJ93
5,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1658686070&sprefix=ba%2Caps%2C283&sr=8-6,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )","699
",3.9 out of 5 stars,483,B09QJ7ZF2Y
6,https://www.amazon.in/Northzone-Polyester-School-Backpack-Compartment/dp/B08678P2T7/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1658686070&sprefix=ba%2Caps%2C283&sr=8-7,Northzone Lightweight School Bags Backpacks for Boys Girls Stylish Men and Women Casual Travel Laptop Bag College Office (Navy Blue) 40L,"599
",4.1 out of 5 stars,"3,137",B08678P2T7
7,https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1658686070&sprefix=ba%2Caps%2C283&sr=8-8,ADISA Laptop Backpack 31 Ltrs,"499
",4.0 out of 5 stars,"7,711",B07G3CG9FC
8,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1658686070&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-9,Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black),"548
",4.3 out of 5 stars,"6,600",B084JGJ8PF
9,https://www.amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1658686070&sprefix=ba%2Caps%2C283&sr=8-10,"POLESTAR Vintage 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women,1 year warranty","660
",4.0 out of 5 stars,"6,182",B081GSQ9D9
10,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08246811Z6EM43GY8IRH&url=%2FSafari-Swagpack-Backpack-Compartments-Raincover%2Fdp%2FB09B25QMKY%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1658686070%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26psc%3D1&qualifier=1658686070&id=3260066566995416&widgetName=sp_mtf,Safari Swagpack 35 Ltrs Large Laptop Backpack With 3 Compartments and Raincover - Black (SWAGPACK19CBBLK),"1,099
",3.7 out of 5 stars,315,B09B25QMKY
11,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08255735ZVBENP0ZAFC&url=%2FSafari-Laptop-Backpack-Compartments-Resistant%2Fdp%2FB09B27GN41%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1658686070%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26psc%3D1&qualifier=1658686070&id=3260066566995416&widgetName=sp_mtf,"Safari Snap 35 Ltrs Large Laptop Backpack With 3 Compartments, Water Resistant Fabric - Blue (SNAP19CBBLU)","1,121
",3.9 out of 5 stars,244,B09B27GN41
12,https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1658686070&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-13,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)","249
",4.1 out of 5 stars,"3,213",B088XB5XY8
13,https://www.amazon.in/POLESTAR-Casual-bagpack-School-Backpack/dp/B07PQQ8M7B/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1658686070&sprefix=ba%2Caps%2C283&sr=8-14,"POLESTAR Noble 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, made with polyester, 1 year warranty","680
",4.0 out of 5 stars,"15,700",B07PQQ8M7B
14,https://www.amazon.in/American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1658686070&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-15,American Tourister Casual Backpack,"999
",4.1 out of 5 stars,"10,843",B07CJCFNZG
15,https://www.amazon.in/DIVING-DEEP-Backpack-Polyester-Bag/dp/B08F7YYZTJ/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1658686070&sprefix=ba%2Caps%2C283&sr=8-16,DIVING DEEP Women Backpack Latest School Bag for Girls (Black),"399
",3.3 out of 5 stars,"1,062",B08F7YYZTJ
16,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1658686070&sprefix=ba%2Caps%2C283&sr=8-17,TRUE HUMAN Anti-Theft and USB Charging Port Backpack with Combination Lock Laptop Bag (Grey),"695
",3.8 out of 5 stars,870,B09H7PK5ML
17,https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1658686070&sprefix=ba%2Caps%2C283&sr=8-18,ADISA Light Weight Laptop Backpack 32 Ltrs,"509
",4.0 out of 5 stars,"4,829",B07F3X45WZ
